gene,ave_zscore_donor.EC,cluster.EC,ave_zscore_cluster.EC,new_name.EC,ave_zscore_donor.ITG,cluster.ITG,ave_zscore_cluster.ITG,new_name.ITG,ave_zscore_donor.PFC,cluster.PFC,ave_zscore_cluster.PFC,new_name.PFC,ave_zscore_donor.V2,cluster.V2,ave_zscore_cluster.V2,new_name.V2,ave_zscore_donor.V1,cluster.V1,ave_zscore_cluster.V1,new_name.V1
KAZN,0.516488851655723,1,0.28627802436914,gene set #4 (n = 120),-0.337874510998207,1,-0.264638599805998,gene set #4 (n = 120),-0.559774117770458,1,-0.521499574267091,gene set #4 (n = 120),0.232176601224373,1,0.227747173103903,gene set #4 (n = 120),0.21371532222674,1,0.279171267926543,gene set #4 (n = 120)
ASAP3,-0.369058515018469,5,-0.660837698398002,gene set #6 (n = 70),-0.044551432867541,5,-0.397459079682161,gene set #6 (n = 70),-0.762722000245738,5,-0.471815184903196,gene set #6 (n = 70),0.482794219523496,5,0.493474130989668,gene set #6 (n = 70),0.49300753895148,5,0.779379734966286,gene set #6 (n = 70)
ID3,0.586691067982252,1,0.28627802436914,gene set #4 (n = 120),-0.544438770188214,1,-0.264638599805998,gene set #4 (n = 120),-0.606795673268555,1,-0.521499574267091,gene set #4 (n = 120),0.215450570783941,1,0.227747173103903,gene set #4 (n = 120),0.421236496833633,1,0.279171267926543,gene set #4 (n = 120)
CLIC4,-0.210858041319075,1,0.28627802436914,gene set #4 (n = 120),0.104532491359843,1,-0.264638599805998,gene set #4 (n = 120),-0.362320422030761,1,-0.521499574267091,gene set #4 (n = 120),0.094259414179325,1,0.227747173103903,gene set #4 (n = 120),0.273059321290828,1,0.279171267926543,gene set #4 (n = 120)
MAN1C1,0.0435435991543154,1,0.28627802436914,gene set #4 (n = 120),-0.176086658289228,1,-0.264638599805998,gene set #4 (n = 120),-0.448578480891465,1,-0.521499574267091,gene set #4 (n = 120),0.263712722713273,1,0.227747173103903,gene set #4 (n = 120),0.268080436392283,1,0.279171267926543,gene set #4 (n = 120)
COL16A1,0.124889271885542,6,0.240052824184087,gene set #5 (n = 81),0.340037856660625,6,0.316117408249062,gene set #5 (n = 81),0.708293203747795,6,0.510914787229598,gene set #5 (n = 81),-0.301073068232759,6,-0.40567323040774,gene set #5 (n = 81),-0.737859322854275,6,-0.520153915041749,gene set #5 (n = 81)
MACF1,-0.731907693091709,3,-0.943896782982763,gene set #2 (n = 85),0.131132960553316,3,-0.0213047162833297,gene set #2 (n = 85),-0.275013973287435,3,0.263170831537092,gene set #2 (n = 85),0.220950517387444,3,0.181571311278053,gene set #2 (n = 85),0.418710308112702,3,0.287218967795328,gene set #2 (n = 85)
RNF220,-0.324504106120123,1,0.28627802436914,gene set #4 (n = 120),0.181497653697881,1,-0.264638599805998,gene set #4 (n = 120),-0.975808229697156,1,-0.521499574267091,gene set #4 (n = 120),0.377783717321171,1,0.227747173103903,gene set #4 (n = 120),0.533459957917857,1,0.279171267926543,gene set #4 (n = 120)
PRDX1,0.358863386936913,1,0.28627802436914,gene set #4 (n = 120),-0.527446721026847,1,-0.264638599805998,gene set #4 (n = 120),-0.723308684549674,1,-0.521499574267091,gene set #4 (n = 120),0.401316437338854,1,0.227747173103903,gene set #4 (n = 120),0.484609613275963,1,0.279171267926543,gene set #4 (n = 120)
AGBL4,1.06531696750382,4,1.09977961336801,gene set #1 (n = 96),0.0453977301847178,4,0.077870451181076,gene set #1 (n = 96),0.185957407841924,4,-0.202185660207542,gene set #1 (n = 96),-0.44686361729326,4,-0.275456270234524,gene set #1 (n = 96),-0.52552473607824,4,-0.413534873773804,gene set #1 (n = 96)
TUT4,0.578573976423928,6,0.240052824184087,gene set #5 (n = 81),0.20001343343702,6,0.316117408249062,gene set #5 (n = 81),0.963546933173528,6,0.510914787229598,gene set #5 (n = 81),-0.73100127896112,6,-0.40567323040774,gene set #5 (n = 81),-0.72171534676253,6,-0.520153915041749,gene set #5 (n = 81)
JUN,0.350107366543237,1,0.28627802436914,gene set #4 (n = 120),-0.224638438454839,1,-0.264638599805998,gene set #4 (n = 120),-0.428806349681319,1,-0.521499574267091,gene set #4 (n = 120),0.0809611059487072,1,0.227747173103903,gene set #4 (n = 120),0.260223267572621,1,0.279171267926543,gene set #4 (n = 120)
