gene,cluster.1,ave_zscore_path.1,mean_trend.1,ave_zscore_cluster.1,new_name.1,new_cluster.1,cluster.4,ave_zscore_path.4,mean_trend.4,ave_zscore_cluster.4,new_name.4,new_cluster.4,cluster.3,ave_zscore_path.3,mean_trend.3,ave_zscore_cluster.3,new_name.3,new_cluster.3,cluster.2,ave_zscore_path.2,mean_trend.2,ave_zscore_cluster.2,new_name.2,new_cluster.2
AJAP1,2,-0.387627057092723,-0.376877182352108,-0.376877182352108,gene set #6 (n = 125),6,2,-0.0576484622972251,0.174537378747613,0.174537378747613,gene set #6 (n = 125),6,2,0.79192376052797,0.61885774258572,0.61885774258572,gene set #6 (n = 125),6,2,-0.415794901479215,-0.487621449201309,-0.487621449201309,gene set #6 (n = 125),6
ENO1,5,-0.181391265714725,-0.19488990843735,-0.19488990843735,gene set #3 (n = 192),3,5,-0.230960850842711,-0.181454812085187,-0.181454812085187,gene set #3 (n = 192),3,5,0.685921721724924,0.571728057847932,0.571728057847932,gene set #3 (n = 192),3,5,-0.297841391570247,-0.225698237789196,-0.225698237789196,gene set #3 (n = 192),3
FBXO2,2,-0.364766196069955,-0.376877182352108,-0.376877182352108,gene set #6 (n = 125),6,2,0.100751469626584,0.174537378747613,0.174537378747613,gene set #6 (n = 125),6,2,0.981242035656317,0.61885774258572,0.61885774258572,gene set #6 (n = 125),6,2,-0.776244071494312,-0.487621449201309,-0.487621449201309,gene set #6 (n = 125),6
KAZN,6,-0.0509702248899223,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.14190630295922,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.0878468905502449,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.266708574436322,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
CROCC,5,-0.0038073112490982,-0.19488990843735,-0.19488990843735,gene set #3 (n = 192),3,5,-0.183942441337176,-0.181454812085187,-0.181454812085187,gene set #3 (n = 192),3,5,0.720364131357018,0.571728057847932,0.571728057847932,gene set #3 (n = 192),3,5,-0.515022113895997,-0.225698237789196,-0.225698237789196,gene set #3 (n = 192),3
PADI2,2,-0.189413800756282,-0.376877182352108,-0.376877182352108,gene set #6 (n = 125),6,2,0.319598455106047,0.174537378747613,0.174537378747613,gene set #6 (n = 125),6,2,0.327490541951752,0.61885774258572,0.61885774258572,gene set #6 (n = 125),6,2,-0.492988880015742,-0.487621449201309,-0.487621449201309,gene set #6 (n = 125),6
CAMK2N1,5,-0.184008213668259,-0.19488990843735,-0.19488990843735,gene set #3 (n = 192),3,5,-0.215675046649733,-0.181454812085187,-0.181454812085187,gene set #3 (n = 192),3,5,0.620666924894118,0.571728057847932,0.571728057847932,gene set #3 (n = 192),3,5,-0.247532561963824,-0.225698237789196,-0.225698237789196,gene set #3 (n = 192),3
HP1BP3,2,-0.444352103215183,-0.376877182352108,-0.376877182352108,gene set #6 (n = 125),6,2,-0.0548822690906657,0.174537378747613,0.174537378747613,gene set #6 (n = 125),6,2,0.79537583059063,0.61885774258572,0.61885774258572,gene set #6 (n = 125),6,2,-0.378289999268013,-0.487621449201309,-0.487621449201309,gene set #6 (n = 125),6
SRRM1,6,0.101074691943542,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.135241310918747,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,-0.630327976400561,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.671657268480671,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
CLIC4,6,-0.070567501971986,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.298642695179626,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,0.0146922750763262,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.338609838929862,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
MAN1C1,1,0.225025813220182,0.342931763470146,0.342931763470146,gene set #1 (n = 135),1,1,-0.364123636946764,-0.28279541244214,-0.28279541244214,gene set #1 (n = 135),1,1,0.0734533034679357,0.066746385449054,0.066746385449054,gene set #1 (n = 135),1,1,0.119456972116328,-0.0460331914339735,-0.0460331914339735,gene set #1 (n = 135),1
SESN2,5,-0.285790665947406,-0.19488990843735,-0.19488990843735,gene set #3 (n = 192),3,5,-0.175845028349687,-0.181454812085187,-0.181454812085187,gene set #3 (n = 192),3,5,0.614156296075672,0.571728057847932,0.571728057847932,gene set #3 (n = 192),3,5,-0.202724696585014,-0.225698237789196,-0.225698237789196,gene set #3 (n = 192),3
SFPQ,3,0.431219679620276,0.314163424004578,0.314163424004578,gene set #4 (n = 120),4,3,-0.137581562782802,0.0462316049884328,0.0462316049884328,gene set #4 (n = 120),4,3,-0.832487120971367,-0.640088193907335,-0.640088193907335,gene set #4 (n = 120),4,3,0.617015414277768,0.335779898815192,0.335779898815192,gene set #4 (n = 120),4
STK40,6,-0.255812514611251,-0.0425365617605956,-0.0425365617605956,gene set #2 (n = 130),2,6,-0.301429864858156,-0.195962478720586,-0.195962478720586,gene set #2 (n = 130),2,6,0.252123957546663,-0.22894903185774,-0.22894903185774,gene set #2 (n = 130),2,6,0.252549481564934,0.451761454705509,0.451761454705509,gene set #2 (n = 130),2
MACF1,1,0.33073613120923,0.342931763470146,0.342931763470146,gene set #1 (n = 135),1,1,-0.40741077298071,-0.28279541244214,-0.28279541244214,gene set #1 (n = 135),1,1,-0.0742974891132374,0.066746385449054,0.066746385449054,gene set #1 (n = 135),1,1,0.225390789648046,-0.0460331914339735,-0.0460331914339735,gene set #1 (n = 135),1
ARMH1,3,0.443196596519215,0.314163424004578,0.314163424004578,gene set #4 (n = 120),4,3,0.00513630923739896,0.0462316049884328,0.0462316049884328,gene set #4 (n = 120),4,3,-0.614699375050838,-0.640088193907335,-0.640088193907335,gene set #4 (n = 120),4,3,0.252881084515303,0.335779898815192,0.335779898815192,gene set #4 (n = 120),4
